ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2022;9;380;3;G;2;7;2;;;;;;;;
2022;9;380;3;G;2;8;2;59613869;14048;74946897;14884;62966453;14475;80478474;15249
2022;9;380;3;G;2;9;2;143900315;37249;170639766;38535;160617677;40809;194582814;42329
2022;9;457;3;C;1;1;6;;;;;;;;
2022;9;457;3;C;1;2;6;11942521;1066;13030085;1066;11664199;1047;12670198;1047
2022;9;457;3;C;1;3;6;;;;;;;;
2022;9;457;3;C;1;4;6;4327007;775;5147043;780;2365531;394;2913231;401
2022;9;457;3;C;1;5;6;;;;;;;;
2022;9;457;3;C;1;6;6;;;;;;;;
2022;9;457;3;C;1;7;6;3272952;775;4145133;781;2199043;485;2850705;485
2022;9;457;3;C;1;8;6;;;;;;;;
2022;9;457;3;C;1;9;6;;;;;;;;
2022;9;457;3;C;2;1;6;;;;;;;;
2022;9;457;3;C;2;2;6;28648428;1550;30326134;1550;28358553;1550;29904103;1550
2022;9;457;3;C;2;3;6;;;;;;;;
2022;9;457;3;C;2;4;6;46219095;7151;55090637;7216;44271788;6977;52444319;7015
2022;9;457;3;C;2;5;6;;;;;;;;
2022;9;457;3;C;2;6;6;;;;;;;;
2022;9;457;3;C;2;7;6;177896115;40666;225531121;41108;167480027;39529;212958963;39677
2022;9;457;3;C;2;8;6;106860566;18986;132853924;19268;94455894;17933;117822318;18063
2022;9;457;3;C;2;9;6;;;;;;;;
2022;9;487;3;C;1;1;6;3008333;194;3166402;194;3008333;194;3173472;194
2022;9;487;3;C;1;2;6;1711333;168;1825517;168;2018333;194;2133951;194
2022;9;487;3;C;1;3;6;4393332;774;4785631;787;4155332;774;4523263;784
2022;9;487;3;C;1;4;6;5067666;1032;5413835;1049;6048954;1161;6463690;1171
2022;9;487;3;C;1;5;6;;;;;;;;
2022;9;487;3;C;1;6;6;;;;;;;;
2022;9;487;3;C;1;7;6;;;;;;;;
2022;9;487;3;C;1;8;6;;;;;;;;
2022;9;487;3;C;1;9;6;22997031;6904;26619079;7023;23344093;7047;26702507;7131
2022;9;487;3;C;2;1;6;15159823;787;15832456;787;15483366;774;16175339;774
2022;9;487;3;C;2;2;6;9743248;1161;10386703;1161;9419748;1161;10074040;1161
2022;9;487;3;C;2;3;6;14455610;2501;16358798;2662;12913700;2154;14378143;2256
2022;9;487;3;C;2;4;6;14119220;2516;15761629;2618;14334032;2586;15572712;2638
2022;9;487;3;C;2;5;6;5654082;1677;7104184;1889;5660530;1587;7311764;1853
2022;9;487;3;C;2;6;6;;;;;;;;
2022;9;487;3;C;2;7;6;8859229;2199;10049530;2355;7548355;1919;8497750;2023
2022;9;487;3;C;2;8;6;11047468;2322;13067354;2612;10519091;2322;12083520;2526
2022;9;487;3;C;2;9;6;123073229;29653;143558419;31633;123842595;30474;142003880;31960
2022;9;677;3;C;1;1;1;;;;;;;;
2022;9;677;3;C;1;2;1;;;;;;;;
2022;9;677;3;C;1;3;1;2149817;387;2271407;387;2048747;343;2203687;343
2022;9;677;3;C;1;4;1;17558022;6493;19870755;6571;18777908;6945;20986406;6993
2022;9;677;3;C;1;5;1;10515172;4866;12300533;4909;10805334;4666;12555000;4697
2022;9;677;3;C;1;6;1;15181071;6687;18130524;6965;14797802;6020;17579096;6264
2022;9;677;3;C;1;7;1;8138951;3483;9556866;3496;8226670;3483;9646848;3512
2022;9;677;3;C;1;8;1;;;;;;;;
2022;9;677;3;C;1;9;1;16985968;6378;19600819;6529;16073799;6278;18554101;6408
2022;9;677;3;C;2;1;1;;;;;;;;
2022;9;677;3;C;2;2;1;;;;;;;;
2022;9;677;3;C;2;3;1;2688808;581;2875019;581;1954635;420;2082985;420
2022;9;677;3;C;2;4;1;23328018;7469;27039760;7707;23700991;7138;27440492;7334
2022;9;677;3;C;2;5;1;9621181;3849;11755052;4079;10212835;3849;12191463;4014
2022;9;677;3;C;2;6;1;9221692;4171;10769876;4233;11514782;4944;13210808;4991
2022;9;677;3;C;2;7;1;8510560;3290;10219906;3319;8037922;3096;10002163;3193
2022;9;677;3;C;2;8;1;703125;194;815576;194;515625;148;610169;148
2022;9;677;3;C;2;9;1;6642139;2802;8006296;2959;6206761;2408;7426521;2488
2022;9;910;3;C;1;1;11;31517037;1548;34648803;1552;34474912;1742;37541501;1744
2022;9;910;3;C;1;2;11;52776101;6063;62463244;6305;53082922;6095;62350200;6313
2022;9;910;3;C;1;3;11;51694895;7540;57851850;7737;53302212;8250;60112992;8476
2022;9;910;3;C;1;4;11;40033348;8184;49549608;8448;38837446;7914;47680379;8110
2022;9;910;3;C;1;5;11;218212;103;340136;106;256774;103;389707;107
2022;9;910;3;C;1;6;11;1116557;194;1195589;194;1135441;194;1218435;194
2022;9;910;3;C;1;7;11;22443279;8656;30459505;8770;23476464;8985;31687663;9104
2022;9;910;3;C;1;8;11;18639884;4410;23472136;4541;20751857;5063;25841904;5180
2022;9;910;3;C;1;9;11;2160611;748;3143008;839;2242779;768;3088295;822
2022;9;910;3;C;2;1;11;62424007;2122;68182775;2188;62476653;2129;67970611;2181
2022;9;910;3;C;2;2;11;42182320;4257;49973992;4429;39738263;3728;46091380;3832
2022;9;910;3;C;2;3;11;64353922;7805;70404765;7876;63523041;7869;69476592;7965
2022;9;910;3;C;2;4;11;20556955;3999;26913375;4222;21156960;4225;27150239;4409
2022;9;910;3;C;2;5;11;1963135;735;2584409;747;2108975;774;2693582;789
2022;9;910;3;C;2;6;11;;;;;;;;
2022;9;910;3;C;2;7;11;51777875;15151;68417586;15559;53115080;15641;69122794;15946
2022;9;910;3;C;2;8;11;17803131;5179;24030541;5435;18502063;5457;24635840;5706
2022;9;910;3;C;2;9;11;4620549;1355;6885512;1531;5813281;1690;7957603;1826
2022;9;956;3;C;1;1;6;10278419;183;10797218;183;10305150;183;10824985;183
2022;9;956;3;C;1;2;6;7165104;456;8494395;457;7192506;447;8532703;448
2022;9;956;3;C;1;3;6;10461502;1560;11121026;1574;9972621;1503;10777221;1529
2022;9;956;3;C;1;4;6;;;;;;;;
2022;9;956;3;C;1;5;6;;;;;;;;
2022;9;956;3;C;1;6;6;3560080;97;4057843;99;3563234;99;4074913;101
2022;9;956;3;C;1;7;6;;;;;;;;
2022;9;956;3;C;1;8;6;6590855;2210;7695578;2236;6933419;2319;8046979;2345
2022;9;956;3;C;1;9;6;2424476;986;2874763;994;2395210;973;2841720;981
2022;9;956;3;C;2;1;6;7604454;192;8207006;192;7597331;192;8199061;192
2022;9;956;3;C;2;2;6;29006310;2633;34875333;2636;29587425;2671;35443000;2675
2022;9;956;3;C;2;3;6;21427706;2806;23838618;2854;21989041;2837;24128193;2870
2022;9;956;3;C;2;4;6;;;;;;;;
2022;9;956;3;C;2;5;6;2172799;889;3175103;967;2160621;878;3185293;968
2022;9;956;3;C;2;6;6;5359259;139;5640399;139;5540901;134;5838075;134
2022;9;956;3;C;2;7;6;;;;;;;;
2022;9;956;3;C;2;8;6;114565427;29533;130092535;29962;117256317;29669;131518099;29940
2022;9;956;3;C;2;9;6;1630783;537;1921989;546;1614026;534;1893815;540
2022;9;957;2;C;1;1;6;;;;;;;;
2022;9;957;2;C;1;2;6;6364302;774;6883167;774;7391120;968;7999130;968
2022;9;957;2;C;1;3;6;;;;;;;;
2022;9;957;2;C;1;4;6;1267813;387;1533938;395;1268692;387;1543122;397
2022;9;957;2;C;1;5;6;;;;;;;;
2022;9;957;2;C;1;6;6;;;;;;;;
2022;9;957;2;C;1;7;6;;;;;;;;
2022;9;957;2;C;1;8;6;4330804;1206;5045238;1234;4162808;1296;4871211;1332
2022;9;957;2;C;1;9;6;;;;;;;;
2022;9;957;2;C;2;1;6;16485800;774;17477708;774;16485800;774;17512265;774
2022;9;957;2;C;2;2;6;37572825;3192;41954892;3206;33775866;3045;37906383;3045
2022;9;957;2;C;2;3;6;19164274;3515;24143278;3846;18406209;3367;23031701;3649
